Movie_Title,Rating,Vote_Count,Runtime,Genre
Long Gone Heroes,5.2,1.3K,1h 41m,Action
Latency,4.2,2.9K,1h 34m,Action
Code 8: Part II,5.7,16K,1h 40m,Action
Sikandar Ka Muqaddar,5.9,25K,2h 22m,Action
Overlord: The Sacred Kingdom,6.9,1.4K,2h 15m,Action
River of Blood,5.0,2K,1h 26m,Action
Alien: Rubicon,2.5,433,1h 26m,Action
Baby John,5.1,17K,2h 39m,Action
Terminator: Skynet Rising,6.7,283,1h 28m,Action
Escape from the 21st Century,6.4,1K,1h 38m,Action
Badland Hunters,5.9,13K,1h 47m,Action
Jigra,6.0,24K,2h 33m,Action
Vedaa,6.0,4.5K,2h 25m,Action
Viduthalai Part 2,7.8,17K,2h 50m,Action
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2,8.8K,1h 44m,Action
Kanguva,4.5,15K,2h 32m,Action
Bohurupi,7.9,1.7K,2h 35m,Action
One More Shot,5.4,3.8K,1h 43m,Action
Duchess,4.6,1.6K,1h 54m,Action
Joe Baby,5.2,101,1h 26m,Action
Son's Will,7.4,1.1K,2h 28m,Action
The Wages of Fear,4.6,4.2K,1h 44m,Action
Lal Salaam,4.5,1.4K,2h 30m,Action
Vettaiyan,6.9,40K,2h 43m,Action
Striking Rescue,5.6,684,1h 51m,Action
Raayan,6.5,11K,2h 25m,Action
Black Heat,8.1,133,1h 33m,Action
Captain Miller,6.9,11K,2h 37m,Action
A.R.M,7.1,8.9K,2h 30m,Action
Hanu Man,7.7,29K,2h 38m,Action
The Twisters,2.6,396,1h 26m,Action
Hitpig,5.1,1.1K,1h 26m,Action
Escape,6.4,2.2K,1h 34m,Action
Anaconda,4.9,668,1h 24m,Action
In the Fire of War,7.2,200,1h 55m,Action
City Hunter,6.3,5.7K,1h 42m,Action
Elyas,6.1,1.6K,1h 45m,Action
Justice League: Crisis on Infinite Earths - Part Two,5.5,5.6K,1h 34m,Action
Despatch,4.4,4.5K,2h 33m,Action
Bade Miyan Chote Miyan,3.7,39K,2h 43m,Action
The Courier,6.0,4.6K,1h 41m,Action
The Family Star,5.4,5.6K,2h 39m,Action
Hijack 1971,6.8,3.4K,1h 40m,Action
S.T.A.L.K.E.R.: Shadow of the Zone,4.9,618,1h 11m,Action
Ultraman: Rising,6.9,6.6K,1h 57m,Action
Bagheera,6.7,7.5K,2h 38m,Action
Dominique,5.3,2.4K,1h 40m,Action
Cash Out,4.8,3.1K,1h 32m,Action
Alienoid: The Return to the Future,6.5,2.7K,2h 2m,Action
Article 370,7.8,25K,2h 38m,Action
The Greatest of All Time,5.7,23K,3h 3m,Action
Mafia Wars,3.6,283,1h 38m,Action
Uch Qahramon,7.5,103,None,Action
Handsome Guys,6.5,958,1h 41m,Action
Thangalaan,6.5,6.8K,2h 36m,Action
Baby Invasion,4.6,573,1h 20m,Action
Mani nude,6.7,57,1h 24m,Action
Prey,3.7,3.4K,1h 26m,Action
Sixty Minutes,5.7,5.3K,1h 28m,Action
Guntur Kaaram,5.4,25K,2h 39m,Action
Megamind vs. The Doom Syndicate,2.5,5.7K,1h 23m,Action
Lights Out,4.9,1.8K,1h 30m,Action
A Legend,4.7,1K,2h 9m,Action
Life After Fighting,6.4,2.1K,2h 6m,Action
Pani,6.9,3.3K,2h 23m,Action
One Fast Move,5.0,2.3K,1h 48m,Action
Troubleshooters,6.4,436,1h 50m,Action
Agent Recon,2.4,745,1h 25m,Action
Double Ismart,2.9,2.2K,2h 36m,Action
Die Hart 2: Die Harter,4.3,5.6K,1h 32m,Action
200% Wolf,5.9,1.3K,1h 38m,Action
Agni,7.2,15K,2h 2m,Action
Levels,5.0,1.6K,1h 33m,Action
Indian 2,3.8,17K,None,Action
The Price of Money: A Largo Winch Adventure,5.1,1.3K,1h 40m,Action
Yolo,6.9,3.8K,2h 9m,Action
Darkness of Man,4.7,3.3K,1h 49m,Action
Saindhav,5.0,1.6K,2h 18m,Action
Gandhi 3,5.7,245,2h 23m,Action
Honeko Akabane's Bodyguards,6.1,47,1h 57m,Action
Death Whisperer 2,6.3,1.5K,1h 50m,Action
Serra das Almas,5.6,42,2h,Action
The Clean Up Crew,4.2,1.3K,1h 35m,Action
"Love, Courage and the Battle of Bushy Run",5.0,193,1h 53m,Action
Rifle Club,7.0,4.6K,1h 53m,Action
Kingdom 4: Return of the Great General,7.1,1.4K,2h 25m,Action
Air Force One Down,4.4,2.9K,1h 24m,Action
Operation: Raqqa,5.6,300,1h 47m,Action
Gone with the Dead,4.1,52,1h 36m,Action
Alien Country,4.5,396,1h 36m,Action
Siren,6.4,3K,2h 34m,Action
Auron Mein Kahan Dum Tha,6.4,41K,2h 30m,Action
The Thundermans Return,5.0,1.9K,1h 10m,Action
Ayalaan,5.9,4K,2h 35m,Action
Tillu Square,6.6,3.5K,2h 17m,Action
Savi,6.1,35K,2h 6m,Action
Revolver,5.4,919,1h 54m,Action
Mongol,8.6,106,2h 35m,Action
Eagle,5.9,5K,2h 39m,Action
Dark Match,5.4,1.1K,1h 34m,Action
Fluxx,6.0,123,1h 40m,Action
Sasan,8.7,84,2h 35m,Action
Garudan,7.1,3.4K,2h 13m,Action
Razakar: The Silent Genocide of Hyderabad,7.3,5.3K,2h 46m,Action
Bhaje Vaayu Vegam,6.1,769,2h 16m,Action
The Ballad of Davy Crockett,4.6,257,1h 36m,Action
Ferry 2,5.6,3.9K,1h 34m,Action
Bidurbhai,9.2,405,2h 28m,Action
Everybody Loves Jenifa,8.3,97,2h 15m,Action
Seeds,5.0,224,1h 22m,Action
Go for Broke,5.7,287,1h 55m,Action
Por,5.1,625,2h 34m,Action
Black Creek,9.2,57,1h 56m,Action
All the Lost Ones,3.7,271,1h 46m,Action
Mr. Bachchan,3.6,5.3K,2h 30m,Action
Arena Wars,4.9,2.2K,1h 36m,Action
Murder at Hollow Creek,4.1,92,None,Action
The Friendly,8.5,20,1h 41m,Action
