Movie_Title,Rating,Vote_Count,Runtime,Genre
Robin and the Hoods,4.3,540,1h 40m,Adventure
Thelma the Unicorn,5.7,3K,1h 33m,Adventure
No Chains No Masters,6.3,658,1h 38m,Adventure
Seeds,5.0,224,1h 22m,Adventure
Diving Into the Darkness,8.9,91,1h 36m,Adventure
Ghost Island,7.3,51,1h 35m,Adventure
The Firing Squad,5.1,5.1K,1h 33m,Adventure
Going Viral,8.3,301,1h 30m,Adventure
The Backrooms,8.2,15,1h 3m,Adventure
The Keepers of the 5 Kingdoms,4.0,231,1h 49m,Adventure
Guest from the Future,6.0,1.3K,2h 21m,Adventure
My Oni Girl,6.0,1.9K,1h 52m,Adventure
My Freaky Family,6.1,424,1h 26m,Adventure
Devil's Knight,5.3,963,1h 30m,Adventure
Never Look Away,7.1,287,1h 25m,Adventure
Birds Flying East,5.8,604,1h 40m,Adventure
Bull Shark 3,3.5,92,1h 16m,Adventure
Dragon Ball Z Kai,8.6,87,1h 22m,Adventure
Trifole,7.5,59,1h 40m,Adventure
Next to Us,4.8,229,2h 5m,Adventure
Oscar Wilde About America,4.6,35,1h 38m,Adventure
Gladiators,4.5,111,1h 35m,Adventure
"I, the Executioner",6.3,2K,1h 58m,Adventure
The Tiger's Apprentice,5.7,2.2K,1h 24m,Adventure
Woody Woodpecker Goes to Camp,4.5,2.7K,1h 40m,Adventure
Eat the Night,6.0,563,1h 46m,Adventure
The Empire,5.2,1.3K,1h 50m,Adventure
Bureau 749,3.9,579,2h 3m,Adventure
Man and Witch: The Dance of a Thousand Steps,5.5,351,1h 34m,Adventure
Angels Fallen: Warriors of Peace,4.8,5.8K,1h 43m,Adventure
Golden Kamuy,6.3,2.6K,2h 7m,Adventure
Rebellious,6.1,236,1h 34m,Adventure
Noah's Ark,4.2,701,1h 36m,Adventure
A Sloth Story,5.6,234,1h 30m,Adventure
Operation Blood Hunt,3.4,514,1h 33m,Adventure
The Kingdom,7.0,147,2h 13m,Adventure
